Source,Catalog,Site,Locus,ProvString,Component,Ct,Wt,MtlString,CndString,ML,AL,MW,MTH,BW,NW,PSA,DSA,MXWP,STL,Comments,PointType
Ruby,26EK4983-10-2674,26EK4983,NL,PL Artifact 5,Non-component,1,1.6,Obsidian,Proximal fragment,-29.1,-27.9,-14.7,3.4,-9.6,-10.6,82,167,,-6.1,,Gatecliff
Ruby,26EK4983-10-2675,26EK4983,NL,PL Artifact 6,Non-component,1,3.3,Cryptocrystalline silicate,Nearly complete,-39.9,-33.7,-19.6,5.4,12.7,12.7,93,235,,12.4,,Gatecliff
Ruby,26EK4983-10-2677,26EK4983,NL,PL Artifact 8,Non-component,1,2.3,Obsidian,Proximal fragment,-23.9,-22.4,-21.5,4.9,-12.9,10.1,121,155,,7.6,,Elko
Ruby,26EK5139-10-2687,26EK5139,NL,PL Artifact 1,Non-component,1,3.1,Cryptocrystalline silicate,Proximal fragment,-32,-27.5,-20.8,4.9,-12,13.5,81,,,-10.4,,Gatecliff
Ruby,26EK5139-10-2688,26EK5139,NL,PL Artifact 2,Non-component,1,0.9,Obsidian,Proximal fragment,-18.6,-17.7,-17.1,3.4,-12.4,9.8,134,191,,-7.5,,Elko
Ruby,26EK5139-10-2689,26EK5139,NL,PL Artifact 3,Non-component,1,2.4,Cryptocrystalline silicate,Nearly complete,-28.5,26.6,18,4.4,-4.2,10.8,103,218,,-7.1,,Elko?
Ruby,26EK5139-10-2690,26EK5139,NL,PL Artifact 4,Non-component,1,0.9,Cryptocrystalline silicate,Medial fragment,-20.6,-19.6,14.9,3.1,3.8,8.5,115,194,,-6.2,,Rosegate
Ruby,26EK5139-10-2691,26EK5139,NL,PL Artifact 5,Non-component,1,3.8,Obsidian,Proximal fragment,-43.4,-39.8,17.9,5.6,10.5,,,,,,Odd,Humboldt?
Ruby,26EK5139-10-2692,26EK5139,PC,PL Artifact 6,Early Archaic (Locus PC),1,2.1,Obsidian,Whole,-28.1,-26.1,17.6,5.3,-11.9,10.2,133,189,,-8.9,,Elko
Ruby,26WA8649-10-2710,26WA8649,-,PL Artifact 1,Non-component,1,3.4,Obsidian,Proximal fragment,-31.2,-28.7,-21.9,4.9,-11.6,,86,220,,-11.5,,Indeterminate
Ruby,26WA8915-10-2741,26WA8915,-,PL Artifact 2,,1,4.4,Obsidian,Proximal fragment,-32.1,-22.2,-29.5,5.9,-7.8,-18.6,118,199,,-14,DSA rule,Elko?
Ruby,26WA8915-10-2740,26WA8915,-,PL Artifact 3,,1,3.3,Obsidian,Proximal fragment,-32.8,-25.7,-20.5,5.6,20.8,-13.4,147,206,,-9.1,"PSA, DSA rules",Elko?
Ruby,26EK5139-10-2693,26EK5139,PC,PL Artifact 7,Early Archaic (Locus PC),1,1.7,Obsidian,Whole,24.8,22.3,15.7,4.8,14.8,,,,46,,,Humboldt
Ruby,26EK5139-10-2694,26EK5139,PC,PL Artifact 8,Early Archaic (Locus PC),1,2.1,Obsidian,Whole,30,28.4,14.6,5.2,10.3,,,,55,,,Humboldt
Ruby,26EK5139-10-2695,26EK5139,NL,PL Artifact 9,Non-component,1,2.4,Obsidian,Proximal fragment,-21.7,-19.7,15.5,6.1,11.8,,,,,,,Humboldt
Ruby,26EK5139-10-2696,26EK5139,NL,PL Artifact 10,Non-component,1,3.1,Cryptocrystalline silicate,Proximal fragment,-29.5,-26,19.6,5.4,11.8,12.9,74,206,,10.2,,Gatecliff
Ruby,26EK5139-10-2697,26EK5139,NL,PL Artifact 11,Non-component,1,1.3,Cryptocrystalline silicate,Proximal fragment,-21.7,-20.8,12.7,4.2,11.1,,,,,,,Humboldt
Ruby,26EK5139-10-2698,26EK5139,NL,PL Artifact 12,Non-component,1,5.8,Cryptocrystalline silicate,Proximal fragment,-40.5,-38.5,25.7,6.1,13.3,14,115,148,,8.5,,Elko
Ruby,26EK5139-10-2699,26EK5139,PC,PL Artifact 16,Early Archaic (Locus PC),1,2.4,Obsidian,Nearly complete,-29.1,-28.8,-20,5,11.4,10.2,89,206,,10.1,,Contracting Stem Dart
Ruby,26EK5139-10-2700,26EK5139,PC,PL Artifact 17,Early Archaic (Locus PC),1,2.2,Cryptocrystalline silicate,Whole,-32.5,-32.1,21.8,3.6,14.5,11.4,102,148,,7.7,,Elko
Ruby,26EK5139-10-2701,26EK5139,NL,PL Artifact 18,Non-component,1,1.5,Obsidian,Proximal fragment,-21.7,-21.4,-18.8,4.5,12.8,10.4,109,140,,-7.4,,Elko
Ruby,26EK5139-10-2702,26EK5139,NL,PL Artifact 19,Non-component,1,1.8,Cryptocrystalline silicate,Proximal fragment,-19.5,-18.4,-14.5,5.5,-8,8.8,106,148,,5.5,single notch,Elko?
Ruby,26EK5139-10-2703,26EK5139,NL,PL Artifact 20,Non-component,1,1.5,Obsidian,Proximal fragment,-18.5,-17.5,21.4,4.5,11.6,9.8,115,184,,-10.3,asymmetrical,Elko?
Ruby,26EK-ISO-10-2705,26EK-ISO,-,-,,1,10.9,Cryptocrystalline silicate,Nearly complete,65.7,60.1,24.6,6.4,-5.9,-10.4,82,218,,-8.9,,Gatecliff
Ruby,26EK-ISO-10-2706,26EK-ISO,-,-,,1,3.6,Cryptocrystalline silicate,Nearly complete,-37.2,-36.2,-23.8,4.5,-11.4,13,103,140,,-8.4,PSA rule,Elko
Ruby,26WA8611-10-2845,26WA8611,NL,PL Artifact 3,Non-component,1,4,Obsidian,Proximal fragment,-33.2,-28.3,23.3,-5.5,23,14.1,132,169,,10.1,,Elko
Ruby,26WA8611-10-2833,26WA8611,NL,PL Artifact 1,Non-component,1,2.2,Cryptocrystalline silicate,Nearly complete,-27.7,22.5,-21,5.6,-5.1,12.6,95,216,,-11.2,,Gatecliff
Ruby,26WA8611-10-2834,26WA8611,NL,PL Artifact 2,Non-component,1,7.9,Obsidian,Proximal fragment,-36.9,-32.4,24.3,8.5,19.2,18.2,87,223,,12.1,,Other Dart
Ruby,26WA8612-10-2846,26WA8612,-,PL Artifact 1,Non-component,1,5.5,Obsidian,Whole,48.3,46.5,16.3,8.5,10.5,,,,34,,,Lanceolate
Ruby,26WA-ISO-10-2877,26WA-ISO,-,-,,1,1.1,Obsidian,Proximal fragment,-18.1,-14.1,16.8,4.2,-5.3,,,,,,,Humboldt
Ruby,26WA-ISO-10-2880,26WA-ISO,-,-,,1,10.7,Obsidian,Whole,60.7,60.1,25.8,7.9,9.1,17.6,104,205,,22.8,,Great Basin Stemmed
Ruby,26WA-ISO-10-2882,26WA-ISO,-,-,,1,1.5,Obsidian,Nearly complete,26,24.1,-16.6,3.9,12.2,11.2,97,232,,8.8,DSA rule; PL comments say tangs missing?,Elko?
Ruby,26WA-ISO-10-2883,26WA-ISO,-,-,,1,2.5,Obsidian,Proximal fragment,-25.7,-19,25.3,4.4,27.9,10.8,163,186,,19.8,,Northern Side-notched
Ruby,26WA-ISO-10-2884,26WA-ISO,-,-,,1,1.8,Obsidian,Proximal fragment,-21.6,-18.9,17.4,5,-6.3,13.1,134,214,,-11.3,,Other Dart
Ruby,26HU5272-10-2886,26HU5272,PL-X,PL Artifact X2,Non-component,1,1.2,Obsidian,Medial fragment,-20.2,-18.3,-16.4,3.4,-6.5,7.1,,197,,-1.6,,Arrow-sized
Ruby,26WA8647-10-3041,26WA8647,NL,PL Artifact 1,Non-component,1,5.1,Obsidian,Whole,38.4,35,-22.5,7.2,18.5,16.6,108,197,,11.7,,Gatecliff
Ruby,26WA8651-10-3042,26WA8651,-,PL Artifact 2,Non-component,1,3.1,Obsidian,Whole,-38.3,-37,-21.4,5,8.8,8.7,102,132,,6.4,Looks very RS,Elko
Ruby,26WA-ISO-10-3170,26WA-ISO,-,-,,1,5.2,Obsidian,Proximal fragment,-37.1,-32.5,22.4,6.4,13.1,,,,,,,Humboldt
Ruby,26EK-ISO-10-3360,26EK-ISO,-,-,,1,1.2,Obsidian,Nearly complete,27.2,26.1,16.5,4.3,13.2,11,115,194,,5.8,,Elko
Ruby,26WA8777-10-3181,26WA8777,A,PL Artifact 1,Paleoarchaic (Locus A),1,2,Obsidian,Proximal fragment,-23.8,-18.4,-18.8,4.5,-4.9,-7.5,,127,,,,Dart-sized
Ruby,26WA8777-10-3224,26WA8777,A,PL Artifact 2,Paleoarchaic (Locus A),1,3.2,Obsidian,Proximal fragment,-27.4,-23.8,20.1,5.9,12.1,,,,,,,Humboldt
Ruby,26WA8725-10-3187,26WA8725,NL,PL Artifact NL1,Non-component,1,2.2,Obsidian,Proximal fragment,-20.3,-19.3,-24.8,5.5,11.2,10.7,115,149,,9,,Elko
Ruby,26WA8758-10-3234,26WA8758,-,PL Artifact 3,,1,6.2,Obsidian,Proximal fragment,-41.5,-37.3,-22.4,7.3,16.3,13.9,106,164,,12.9,,Gatecliff
Ruby,26WA8758-10-3235,26WA8758,-,PL Artifact 4,,1,2.8,Obsidian,Nearly complete,-32.9,-32.6,-19.9,5.8,-6.2,9.7,77,187,,-9.1,,Contracting Stem Dart
Ruby,26WA8725-10-3189,26WA8725,C,PL Artifact C1,Early Archaic (Locus C),1,4.2,Obsidian,Nearly complete,-46.9,-45.6,19.7,6,-13.8,14,107,212,,-6.7,"PSA, DSA rule",Elko?
Ruby,26WA8758-10-3236,26WA8758,-,PL Artifact 5,,1,3.4,Obsidian,Medial fragment,-29.2,-28.1,-20.9,6.2,-7,12.1,109,215,,-7.3,,Dart-sized
Ruby,26WA8758-10-3237,26WA8758,-,PL Artifact 6,,1,1.8,Obsidian,Whole,32.2,31.2,13.8,5.7,10.1,,,,40,,,Lanceolate
Ruby,26WA8758-10-3238,26WA8758,-,PL Artifact 7,,1,2.5,Obsidian,Nearly complete,37,34.5,-20.1,4,-15.3,-14.1,128,203,,-8,DSA rule; split stem,Elko
Ruby,26WA8758-10-3239,26WA8758,-,PL Artifact 8,,1,1.4,Obsidian,Proximal fragment,-14.1,-11,24.6,5,24.3,13.2,159,,,-14.1,,Northern Side-notched
Ruby,26WA8605-10-3203,26WA8605,NL,PL Artifact 1,Non-component,1,1.5,Obsidian,Nearly complete,-30.7,26,-18,3.9,-4.9,10.7,100,223,,-9.8,,Gatecliff?
Ruby,26WA8605-10-3208,26WA8605,NL,PL Artifact 4,Non-component,1,1.6,Obsidian,Nearly complete,31.3,30.3,-21.4,3.9,8.2,7.3,106,158,,7.4,,Rosegate
Ruby,26WA8605-10-3273,26WA8605,D,PL Artifact 2,Early Archaic (Locus D),1,3,Obsidian,Nearly complete,-34.3,-32.4,-21.8,5.8,-11.2,11.1,88,146,,7.3,,Contracting Stem Dart
Ruby,26WA8628-10-2708,26WA8628,C,PL Artifact C2,Non-component,1,9.7,Cryptocrystalline silicate,Whole,44.6,43.6,27.1,6.4,24,,,,32,,,Lanceolate
Ruby,26WA8628-10-2869,26WA8628,E,PL Artifact E13,Middle Archaic (Locus E),1,1.5,Obsidian,Proximal fragment,-20.7,-19.6,-17.9,4.1,-9.4,9,110,134,,-5.2,,Elko
Ruby,26WA8628-10-2872,26WA8628,NL,PL Artifact NL7,Non-component,1,3.8,Obsidian,Proximal fragment,32.1,30.5,28.3,4.6,16.1,14.7,105,139,,7.5,,Elko
Ruby,26WA8628-10-2873,26WA8628,NL,PL Artifact NL8,Non-component,1,2.5,Obsidian,Proximal fragment,-29.6,-24.6,-18.8,5.3,-5.1,12.3,124,221,,-10.5,,Elko?
Ruby,26WA8628-10-2867,26WA8628,NL,PL Artifact NL5,Non-component,1,5.4,Obsidian,Proximal fragment,-34.2,-31.3,20.1,7.3,12.6,,,,,,,Humboldt
Ruby,26WA8628-10-2870,26WA8628,E,PL Artifact E14,Middle Archaic (Locus E),1,0.6,Obsidian,Whole,23.8,23.3,-13,2.9,-8.3,6,127,220,,6.6,asymmetrical,Rosegate
Ruby,26WA8628-10-2876,26WA8628,NL,PL Artifact NL11,Non-component,1,2.3,Obsidian,Proximal fragment,-23.2,-20.9,-17.5,5.9,-11.8,10.7,89,195,,7.5,,Gatecliff
Ruby,26WA8628-10-2898,26WA8628,NL,PL Artifact NL1,Non-component,1,3.1,Obsidian,Proximal fragment,-33.9,-31.6,-19.6,5.1,-10.1,-12.7,133,220,,-7.8,DSA rule,Elko?
Ruby,26WA8628-10-2899,26WA8628,C,PL Artifact C1,Non-component,1,0.8,Obsidian,Proximal fragment,-19.3,-14.8,-14.8,3.6,9.5,-8.7,119,135,,-5.9,,Elko
Ruby,26WA8628-10-2900,26WA8628,C,PL Artifact C3,Non-component,1,2.4,Obsidian,Whole,32.7,30.3,21.2,4.3,19.5,11.4,156,161,,10.8,,Northern Side-notched
Ruby,26WA8628-10-2901,26WA8628,C,PL Artifact C4,Non-component,1,2.2,Obsidian,Whole,36.2,35.9,-15.7,5,6.5,-8.1,71,130,,-5.3,asymmetrical; reworked? Orientation?,Dart-sized
Ruby,26WA8628-10-2904,26WA8628,D,PL Artifact D1,Middle Archaic (Locus D),1,3.3,Obsidian,Nearly complete,-33.5,-29.5,18.4,6.3,19.8,,,,,,DSA rule,Elko?
Ruby,26WA8628-10-2910,26WA8628,E,PL Artifact E10,Middle Archaic (Locus E),1,26.7,Obsidian,Proximal fragment,-56.9,-53.2,-38.3,8.6,-35.7,-30.8,132,165,,-13.6,"Oddball, huge, one notch",Elko?
Ruby,26WA8628-10-2911,26WA8628,E,PL Artifact E9,Middle Archaic (Locus E),1,2.7,Obsidian,Medial fragment,-27.8,-27.1,20,5.7,-8.4,12.5,98,193,,-4.7,,Dart-sized
Ruby,26WA8628-10-2912,26WA8628,E,PL Artifact E5,Middle Archaic (Locus E),1,1.8,Obsidian,Whole,33.2,31.2,-17.3,4.5,-14.4,12.2,121,196,,6.2,,Elko
Ruby,26WA8628-10-2913,26WA8628,E,PL Artifact E2,Middle Archaic (Locus E),1,2.1,Obsidian,Nearly complete,-35.5,-34.3,17.3,4.9,-10.7,9.9,113,158,,-6.6,,Elko
Ruby,26WA8628-10-2914,26WA8628,E,PL Artifact E3,Middle Archaic (Locus E),1,1.9,Obsidian,Medial fragment,-27.9,-24.6,-17.5,4.4,-4.5,-11.4,130,169,,-6.8,,Elko
Ruby,26WA8628-10-2916,26WA8628,E,PL Artifact E6,Middle Archaic (Locus E),1,3.5,Obsidian,Nearly complete,-33.6,-28.9,25.1,5.9,9.2,9.6,106,133,,7.9,like a giant Eastgate,Elko
Ruby,26WA8628-10-2917,26WA8628,E,PL Artifact E7,Middle Archaic (Locus E),1,2.6,Obsidian,Medial fragment,-26,-21.8,-20.4,5.1,-13,-13.2,,,,-5.7,,Dart-sized
Ruby,26WA8628-10-2918,26WA8628,E,PL Artifact E8,Middle Archaic (Locus E),1,2.6,Obsidian,Proximal fragment,-26.9,-23,22.3,5.9,-14.5,12.2,135,168,,-7.8,,Elko
Ruby,26WA8628-10-2915,26WA8628,E,PL Artifact E4,Middle Archaic (Locus E),1,0.7,Obsidian,Whole,24.4,23.9,-11.4,2.7,8.1,6.1,110,144,,4.9,,Rosegate
Ruby,26WA8628-10-2973,26WA8628,NL,PL Artifact NL13,Non-component,1,1.5,Obsidian,Medial fragment,-23.9,-21.5,-21.2,3.3,-8.6,-12.3,116,192,,-4.3,,Elko
Ruby,26WA8628-10-2972,26WA8628,NL,PL Artifact NL12,Non-component,1,1.5,Obsidian,Proximal fragment,-21.9,-20.4,-15.5,5.1,-9.3,-9.2,88,,,-6.6,no DSA,Gatecliff?
Ruby,26WA8768-10-2777,26WA8768,NL,PL Artifact 1,Non-component,1,5.3,Obsidian,Proximal fragment,-31.2,-26.9,-27,6.3,-7.3,,,,,,,Humboldt
Ruby,26WA8768-10-2778,26WA8768,NL,PL Artifact 2,Non-component,1,2.3,Obsidian,Medial fragment,-27,-24.9,-16.7,5.4,-5.5,-9.2,83,198,,-6.7,,Dart-sized
Ruby,26WA8768-10-2780,26WA8768,NL,PL Artifact 4,Non-component,1,0.6,Obsidian,Proximal fragment,-11.7,-7.1,-20.3,-4,20.3,-9.5,145,,,-11.7,"no DSA, base only",Elko?
Ruby,26WA8768-10-2781,26WA8768,NL,PL Artifact 5,Non-component,1,1.3,Obsidian,Medial fragment,-22.7,-19.6,-16,4.3,-5.4,8.7,143,199,,-8.6,base incomplete,Northern Side-notched?
Ruby,26WA8768-10-2782,26WA8768,NL,PL Artifact 6,Non-component,1,1.3,Obsidian,Proximal fragment,-13.4,-12.7,-21.4,4,-21.4,11.2,123,166,,-10.8,,Elko
Ruby,26WA8768-10-2779,26WA8768,NL,PL Artifact 3,Non-component,1,2.8,Obsidian,Proximal fragment,-23.1,-19.1,19.6,4.8,19.6,13,131,160,,8.4,Eared/split stem,Elko
Ruby,26WA8768-10-2783,26WA8768,NL,PL Artifact 7,Non-component,1,1.2,Obsidian,Proximal fragment,-24,-23.6,-15.5,4.4,8.5,7.2,106,128,,5.2,,Rosegate
Ruby,26WA8769-10-2799,26WA8769,NL,PL Artifact 5,Non-component,1,1.7,Obsidian,Medial fragment,-23,-22.5,20.6,4.2,,9,81,162,,,,Dart-sized
Ruby,26WA8769-10-2800,26WA8769,NL,PL Artifact 6,Non-component,1,2.5,Obsidian,Proximal fragment,-20.6,-15.3,-21.6,6.3,-5.7,16.3,146,240,,-15.4,,Northern Side-notched?
Ruby,26WA8769-10-2801,26WA8769,NL,PL Artifact 7,Non-component,1,1.2,Obsidian,Proximal fragment,-17.5,-11.5,-16.8,4.7,15.2,11.7,131,216,,-8.1,DSA rule,Elko?
Ruby,26WA8641-10-2878,26WA8641,-,PL Artifact 1,Non-component,1,2.3,Obsidian,Proximal fragment,-29,-25.1,17,5.1,14.6,8.3,165,172,,10.6,,Northern Side-notched
Ruby,26WA8730-10-2716,26WA8730,-,PL Artifact 1,Non-component,1,6.5,Obsidian,Proximal fragment,-31.3,-24.8,28.8,6.2,-6.8,,,,,,fluted,Great Basin Concave Base
Ruby,26WA8636-10-2942,26WA8636,NL,PL Artifact 2,Non-component,1,0.6,Obsidian,Proximal fragment,-16.3,-15.2,-13.6,3.5,6.4,6.6,103,165,,4.2,,Rosegate
Ruby,26WA8636-10-2943,26WA8636,NL,PL Artifact 3,Non-component,1,1.6,Obsidian,Whole,27.4,27.4,15.9,5,3.3,6,86,168,,6.5,,Small Stemmed
Ruby,26WA8678-10-2965,26WA8678,-,PL Artifact 1,Middle Archaic,1,1.6,Obsidian,Proximal fragment,-24.6,-21.7,-21.7,4.1,11,6.4,135,211,,7.5,,Arrow-sized
Ruby,26WA8636-10-3174,26WA8636,NL,PL Artifact 4,Non-component,1,2.9,Obsidian,Whole,37.5,36.5,17.4,5.7,17.1,11.7,142,216,,9,,Northern Side-notched
Ruby,26WA8676-10-2960,26WA8676,-,PL Artifact 1,Non-component,1,6.3,Obsidian,Whole,52.5,51.5,-19.4,8,-14.6,10.4,114,173,,9.6,,Elko
Ruby,26WA8701-10-3102,26WA8701,NL,PL Artifact 6,Non-component,1,1.3,Obsidian,Proximal fragment,-11.6,-9.8,27.2,5.8,27.2,13.3,161,,,-11.6,,Northern Side-notched
Ruby,26WA8718-10-3012,26WA8718,NL,PL Artifact 1,,1,2.3,Obsidian,Proximal fragment,-26.8,-24,-21.2,4.3,-4.1,5.2,112,218,,-9.2,DSA rule; base incomplete,Elko?
Ruby,26WA8701-10-3103,26WA8701,NL,PL Artifact 8,Non-component,1,1.2,Obsidian,Proximal fragment,-17,-14.1,-18.9,5.9,13.7,,,,,,,Humboldt
Ruby,26WA8701-10-3441,26WA8701,B,PL Artifact 7,Non-component,1,2,Obsidian,Proximal fragment,-17.2,-15.1,-22.1,-5.7,21.9,13.4,164,165,,10.4,,Elko
Ruby,26WA8701-10-3442,26WA8701,B,PL Artifact 5,Non-component,1,2.3,Obsidian,Medial fragment,-21,-20.5,-21.2,4.8,,9.6,92,139,,,,Elko?
Ruby,26WA8701-10-3443,26WA8701,NL,PL Artifact 4,Non-component,1,2.3,Obsidian,Proximal fragment,-33.1,-28.7,18.9,4.8,2.9,,,,,,no base,Dart-sized
Ruby,26WA8714-10-3114,26WA8714,-,PL Artifact 1,,1,3,Obsidian,Whole,32.8,29,18.6,6.2,12.7,,,,48,,,Humboldt
Ruby,26WA8702-10-3107,26WA8702,-,PL Artifact 1,,1,1.4,Obsidian,Proximal fragment,-18,-16.3,17.4,4.9,12.1,,,,,,,Humboldt
Ruby,26WA8714-10-2993,26WA8714,-,PL Artifact 2,,1,0.8,Obsidian,Proximal fragment,-20.6,-16.1,-13.9,3.5,-8.6,7.4,124,218,,-8.3,,Rosegate?
Ruby,26WA8700-10-3152,26WA8700,-,PL Artifact 1,,1,3.6,Obsidian,Medial fragment,-23.5,-23,31.6,4.7,-9,13.2,88,133,,-6.6,,Other Dart
Ruby,26WA8696-10-3138,26WA8696,NL,PL Artifact 2,Non-component,1,2.7,Obsidian,Proximal fragment,-27.3,-26.8,-23,5.1,-17.6,9.8,156,168,,10.1,,Northern Side-notched
Ruby,26WA8704-10-3480,26WA8704,NL,PL Artifact 1,Non-component,1,1.1,Obsidian,Proximal fragment,-18.7,-18,16.6,3.3,7.7,7.1,103,136,,5.5,,Rosegate
Ruby,26WA8779-10-3250,26WA8779,-,PL Artifact 1,,1,0.9,Obsidian,Proximal fragment,-22.8,-22.5,12.9,3.9,8.4,6.7,110,157,,6.6,,Rosegate
Ruby,26WA8732-10-3201,26WA8732,-,PL Artifact 1,Middle Archaic,1,2.1,Obsidian,Whole,31.4,28.9,22.9,4.2,17,10.6,130,132,,8.3,,Elko
Ruby,26WA8723-10-3120,26WA8723,NL,PL Artifact 1,Non-component,1,0.5,Obsidian,Medial fragment,-12.7,-11.9,-16.9,3,,-8.9,113,140,,,PSA looks suspect,Elko?
Ruby,26WA8779-10-3251,26WA8779,-,PL Artifact 2,,1,3.4,Obsidian,Proximal fragment,-21.9,-20.2,25.7,5.2,,20,77,203,,-9.5,,Great Basin Stemmed
Ruby,26WA8779-10-3252,26WA8779,-,PL Artifact 3,,1,3.1,Obsidian,Medial fragment,-39.2,-31.3,18.8,5.3,-6.4,,,,,,,Humboldt
Ruby,26WA8779-10-3253,26WA8779,-,PL Artifact 4,,1,4.6,Obsidian,Proximal fragment,-42,-39.8,17.4,6.9,12.1,,,,,,,Humboldt
Ruby,26WA8696-10-3137,26WA8696,NL,PL Artifact 1,Non-component,1,4.7,Obsidian,Proximal fragment,-23.7,-11,-28.8,8.6,22.4,,,,,,HBN,Humboldt
Ruby,26WA8779-10-3254,26WA8779,-,PL Artifact 5,,1,9.8,Obsidian,Proximal fragment,-43.7,-33.3,34.6,6.2,25,,,,,,,Great Basin Concave Base?
Ruby,26WA8779-10-3255,26WA8779,-,PL Artifact 6,,1,3.8,Obsidian,Proximal fragment,-27.4,-26.8,20.1,6.6,10.5,,,,,,,Humboldt
Ruby,26HU4945-10-3321,26HU4945,NL,PL Artifact 15,Non-component,1,1.4,Obsidian,Nearly complete,-23.8,21.5,14,4.8,-6.3,,,,,,base incomplete,Humboldt?
Ruby,26WA8779-10-3257,26WA8779,-,PL Artifact 8,,1,2.9,Obsidian,Proximal fragment,-24.4,-17.6,25.3,4.9,-21,,,,,,,Humboldt
Ruby,26HU4945-10-3320,26HU4945,NL,PL Artifact 12,Non-component,1,0.3,Obsidian,Proximal fragment,-15.2,-10,-10.4,2.6,-5.7,6.2,143,165,,-8.7,metrics say Rosegate,Desert Side-notched
Ruby,26HU4944-10-3301,26HU4944,-,PL Artifact 2,,1,1.2,Obsidian,Medial fragment,-21.6,-21.3,16.1,3.7,,9,,172,,,,Dart-sized
Ruby,26WA8690-10-3308,26WA8690,NL,PL Artifact 1,Non-component,1,3,Obsidian,Medial fragment,-29.2,-29.1,22.7,5.3,-6.3,12.9,77,160,,-8.2,,Contracting Stem Dart
Ruby,26WA8690-10-3309,26WA8690,NL,PL Artifact 2,Non-component,1,6.2,Obsidian,Proximal fragment,-30.4,-22.8,-27.7,6.6,28.7,,,,,,,Great Basin Concave Base?
Ruby,26WA8690-10-3310,26WA8690,NL,PL Artifact 3,Non-component,1,11.7,Obsidian,Nearly complete,58.4,58.4,25.4,8.4,20.1,5.8,92,222,,19.2,,Great Basin Stemmed
Ruby,26HU4945-10-3318,26HU4945,NL,PL Artifact 9,Non-component,1,0.4,Obsidian,Distal fragment,-21.7,-21.1,12.9,2.1,,4.6,,154,,,,Arrow-sized
Ruby,26HU4945-10-3317,26HU4945,NL,PL Artifact 8,Non-component,1,0.4,Obsidian,Margin fragment,-13.7,-11.9,-9.7,4.3,,-4.5,,,,,,Indeterminate
Ruby,26HU4945-10-3319,26HU4945,NL,PL Artifact 11,Non-component,1,2.3,Obsidian,Proximal fragment,-24.6,-19.6,-16.3,6.5,13.8,,,,,,,Humboldt
Ruby,26WA8648-10-3327,26WA8648,-,PL Artifact 1,Non-component,1,1.9,Obsidian,Medial fragment,-25.3,-24.8,18.6,4.9,-7.4,8.6,91,167,,-2.6,,Dart-sized
Ruby,26WA8609-10-3330,26WA8609,-,PL Artifact 1,,1,3,Obsidian,Medial fragment,-16.9,-15.5,28.7,5.3,,11.2,136,158,,,,Dart-sized
Ruby,26WA8604-10-3336,26WA8604,-,PL Artifact 1,Early Archaic,1,3.1,Obsidian,Whole,50.2,49.1,14.4,5.2,8.2,,,,,,,Humboldt
Ruby,26HU4945-10-3344,26HU4945,NL,PL Artifact 23,Non-component,1,2.9,Obsidian,Proximal fragment,-33.3,-31.4,14.5,7.2,10.1,,,,,,,Humboldt
Ruby,26WA8775-10-3357,26WA8775,A,PL Artifact 1,Non-component,1,8.7,Obsidian,Proximal fragment,-40.4,-39.6,-24.4,8.8,12.1,,87,,,-40.4,,Great Basin Stemmed?
Ruby,26WA8775-10-3359,26WA8775,NL,PL Artifact 3,Non-component,1,3.2,Obsidian,Medial fragment,-32.3,-30.8,-21.5,5,-12.5,12.6,102,165,,-5.7,PSA rule,Elko?
Ruby,26WA8736-10-3456,26WA8736,A,PL Artifact 2,Non-component,1,7.7,Obsidian,Proximal fragment,-43.9,-39.2,21.9,7.5,-7,,,,,,,Dart-sized
Ruby,26WA8736-10-3457,26WA8736,B,PL Artifact 3,Early Archaic (Locus B),1,1.1,Obsidian,Proximal fragment,-13.9,-12.8,-23.5,4,-7.5,-12.1,89,159,,-4.2,,Indeterminate
Ruby,26WA8736-10-3458,26WA8736,B,PL Artifact 4,Early Archaic (Locus B),1,7.1,Obsidian,Proximal fragment,-35.5,-26.8,26.5,7.2,16,,,,,,Shouldered? Gatecliff-like,Humboldt?
Ruby,26WA8704-10-3483,26WA8704,NL,PL Artifact 2,Non-component,1,5.9,Obsidian,Proximal fragment,-43.1,-39.3,17.9,7.4,-11.5,,,,,,,Humboldt?
Ruby,26WA8704-10-3487,26WA8704,NL,PL Artifact 3,Non-component,1,3.5,Obsidian,Proximal fragment,-37.1,-36.6,17.7,5.7,10.9,,,,,,,Humboldt
Ruby,26WA8921-10-3469,26WA8921,-,PL Artifact 1,Late Archaic,1,0.9,Cryptocrystalline silicate,Proximal fragment,-22.4,-22.1,-13.3,3.2,6.9,7.2,103,126,,5.6,,Rosegate
Ruby,26HU4791-10-722,26HU4791,NL,PL Artifact 3,Non-component,1,0.5,Obsidian,Medial fragment,-12.3,-10.1,-15.7,2.7,,,111,141,,,,Indeterminate
Ruby,26HU4869-10-964,26HU4869,-,PL Artifact 1,Non-component,1,3,Obsidian,Medial fragment,-19.7,-16.9,-25.4,5.5,-8,-18.9,93,193,,-10.7,,Dart-sized
Ruby,26WA8621-10-708,26WA8621,NL,PL Artifact 3,Non-component,1,2.5,Obsidian,Proximal fragment,-24.1,-21.6,-17.9,6,,,,,,,~orientation,Gatecliff
Ruby,26HU4962-10-1316,26HU4962,NL,PL Artifact O,Non-component,1,0.8,Obsidian,Margin fragment,-18.6,-17,-13.6,3.4,,,,,,,,Indeterminate
