CatID,ACC,Site,CAT,Locus,ProvString,Component,Description,Ct,Wt,MtlString,CndString,ML,AL,MW,MTH,BW,NW,PSA,DSA,MXWP,STL,Comments,PointType,Analyst,Complete,Notched,Serrated,EdgeGround,BasalThinned,Reworked
33134,26EK12131-10,26EK12131,3603,NL,PL Artifact 1,Non-component,PROJECTILE POINT,1,0.7,Obsidian,Proximal fragment,13.2,10.6,12,5.1,11.9,,,,,,Gatecliff or Humboldt base,Dart-sized,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33141,26EK12133-10,26EK12133,3610,NL,PL Artifact 2,Non-component,PROJECTILE POINT,1,0.5,Cryptocrystalline silicate,Nearly complete,20.1,19.3,12.5,2.7,12.4,6.2,162,210,,7.3,asymmetrical,Desert Side-notched?,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33142,26EK12133-10,26EK12133,3611,NL,PL Artifact 14,Non-component,PROJECTILE POINT,1,0.4,Obsidian,Proximal fragment,12.9,10.5,13.2,2.8,12.8,5.6,151,192,,5.8,,Desert Side-notched,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33143,26EK12133-10,26EK12133,3612,NL,PL Artifact 15,Non-component,PROJECTILE POINT,1,2.4,Obsidian,Proximal fragment,27.6,19.6,19.1,5.1,5,8.1,115,220,,8.9,DSA rule,Elko?,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33146,26EK-ISO-10,26EK-ISO,3618,-,-,,PROJECTILE POINT,1,1.8,Cryptocrystalline silicate,Proximal fragment,19.2,15.9,21.8,4.8,11.9,12,81,193,,9.9,,Gatecliff,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33147,26EK-ISO-10,26EK-ISO,3619,-,-,,PROJECTILE POINT,1,1,Cryptocrystalline silicate,Distal fragment,25.9,25.8,14.5,3.1,,5.5,103,149,,,,Rosegate,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33148,26EK11835-10,26EK11835,3620,-,PL Artifact 1,,PROJECTILE POINT,1,2.1,Cryptocrystalline silicate,Whole,28.7,27.4,20,4.7,16.5,14.9,116,220,,6.3,"PSA, DSA rules",Elko?,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33149,26EK11836-10,26EK11836,3621,NL,PL Artifact 1,Non-component,PROJECTILE POINT,1,3.9,Cryptocrystalline silicate,Proximal fragment,31.8,31.2,20.4,6.4,15.7,12.7,116,224,,7.3,DSA rule,Elko?,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33151,26EK-ISO-10,26EK-ISO,3623,-,-,,PROJECTILE POINT,1,2.4,Obsidian,Proximal fragment,27.7,27,16.7,5.2,10.2,11.2,117,217,,5.6,DSA rule,Elko?,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33153,26EK11851-10,26EK11851,3627,NL,PL Artifact 3,Non-component,PROJECTILE POINT/DRILL,1,0.6,Cryptocrystalline silicate,Nearly complete,23,22.5,12.9,3.3,4.9,4.6,104,194,,4,drill use,Rosegate,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33159,26HU5272-10,26HU5272,3634,NL,PL Artifact PA-42,Non-component,PROJECTILE POINT,1,1.2,Obsidian,Medial fragment,18.2,17.5,14.9,4.41,10.4,10.1,136,212,,5.6,,Dart-sized,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33160,26HU5272-10,26HU5272,3635,NL,PL Artifact PA-43,Non-component,PROJECTILE POINT,1,0.9,Obsidian,Medial fragment,18.5,18.1,15.3,4.1,,6.6,136,197,,,,Dart-sized,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33163,26HU5272-10,26HU5272,3638,NL,PL Artifact PA-85,Non-component,PROJECTILE POINT,1,1,Obsidian,Nearly complete,25.8,25.5,12.9,3.6,8.5,6.1,116,141,,6.9,,Rosegate,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33170,26HU5272-10,26HU5272,3645,PL-AG,PL Artifact PA-45,Non-component,PROJECTILE POINT,1,0.5,Obsidian,Whole,21.2,21.2,9.6,3,,,,,,,NW looks measureable,Small Stemmed,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33175,26HU-ISO-10,26HU-ISO,3656,-,-,,PROJECTILE POINT,1,2.1,Obsidian,Whole,32.8,31.3,24.4,4.2,11.2,10,107,140,,6.6,,Elko,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33176,26HU4792-10,26HU4792,3668,NL,PL Artifact 1,Non-component,PROJECTILE POINT,1,0.6,Obsidian,Proximal fragment,11.2,9,17.8,3.6,5.2,7.4,115,159,,4.4,,Rosegate,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33177,26HU4792-10,26HU4792,3669,NL,PL Artifact 4,Non-component,PROJECTILE POINT,1,1.2,Obsidian,Proximal fragment,20.4,11,20,4.1,14,14.1,119,163,,6.5,one notch,Elko?,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33178,26HU4793-10,26HU4793,3670,NL,PL Artifact 1,Non-component,PROJECTILE POINT,1,2.8,Obsidian,Proximal fragment,28.8,26.9,20.1,5.5,20.2,11.4,145,201,,9.4,,Northern Side-notched,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33179,26HU4793-10,26HU4793,3671,NL,PL Artifact 10,Non-component,PROJECTILE POINT,1,1,Obsidian,Proximal fragment,19.3,14.6,15.2,3.3,5.4,7.4,132,221,,6.5,PSA rule; base incomplete,Northern Side-notched?,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33180,26HU4806-10,26HU4806,3672,NL,PL Artifact 1,Non-component,PROJECTILE POINT,1,1.1,Obsidian,Proximal fragment,18.2,18.1,19,3.1,7,5.6,109,140,,5.4,,Rosegate,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33181,26HU4806-10,26HU4806,3673,NL,PL Artifact 2,Non-component,PROJECTILE POINT,1,0.8,Obsidian,Proximal fragment,26.4,24.1,13.7,2.7,9.3,6.1,123,161,,5.2,split stem,Rosegate,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33182,26HU4809-10,26HU4809,3674,-,PL Artifact 1,Non-component,PROJECTILE POINT,1,0.8,Obsidian,Whole,23.7,23.6,16.8,3.5,6.5,5.7,105,134,,5.8,,Rosegate,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33183,26HU4945-10,26HU4945,3675,NL,PL Artifact 5,Non-component,PROJECTILE POINT,1,3.9,Obsidian,Nearly complete,40.4,35.5,19.2,5.8,9.9,,,,,,,Humboldt,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33184,26HU4945-10,26HU4945,3676,NL,PL Artifact 6,Non-component,PROJECTILE POINT,1,1.3,Obsidian,Proximal fragment,15.8,13.2,16.2,4.4,13.1,,,,,,,Humboldt,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
